case_id,client_name,case_type,notary,workflow_status,case_category,notarization_category,usage_country,accept_date,issue_date,notary_fee,fee_status
20220024476,REDACTED_CLIENT,法定继承,Staff_018,已归档,新证,国内民事,中国大陆,2023-01-04,2023-01-06,2079.00,是
20220024606,REDACTED_CLIENT,文书保管,Staff_016,已归档,新证,保管,中国大陆,2023-01-06,2023-01-09,800.00,是
20220024614,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,德国,2023-01-03,2023-01-03,500.00,是
20220024654,REDACTED_CLIENT,城市房屋所有权委托,Staff_049,受理,新证,国内民事,中国大陆,2023-01-03,NULL,2000.00,否
20220024686,REDACTED_CLIENT,证书（执照）,Staff_019,已归档,新证,涉外民事,泰国,2023-01-06,2023-01-06,150.00,是
2023001,REDACTED_CLIENT,证书（执照）,Staff_044,已归档,新证,涉外民事,泰国,2023-01-01,2023-01-04,150.00,是
20230010,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,泰国,2023-01-03,2023-01-03,150.00,是
202300100,REDACTED_CLIENT,译本与原本相符,Staff_008,已归档,新证,涉外民事,美国,2023-01-03,2023-01-03,150.00,是
2023001000,REDACTED_CLIENT,法定继承,Staff_024,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-28,2471.00,是
2023001001,REDACTED_CLIENT,证书（执照）,Staff_012,已归档,新证,涉外民事,新加坡,2023-01-14,2023-01-29,150.00,是
2023001002,REDACTED_CLIENT,证书（执照）,Staff_070,已归档,新证,涉外民事,澳大利亚,2023-01-14,2023-01-16,150.00,是
2023001003,REDACTED_CLIENT,无犯罪记录,Staff_036,已归档,新证,涉外民事,巴西,2023-01-14,2023-01-16,150.00,是
2023001011,REDACTED_CLIENT,城市房屋所有权委托,Staff_076,已归档,新证,国内民事,中国大陆,2023-01-15,2023-01-16,500.00,是
2023001012,REDACTED_CLIENT,无犯罪记录,Staff_049,已归档,新证,涉外民事,秘鲁,2023-01-15,2023-01-16,150.00,是
2023001013,REDACTED_CLIENT,证书（执照）,Staff_024,已归档,新证,涉外民事,法国,2023-01-15,2023-01-17,500.00,是
2023001015,REDACTED_CLIENT,证书（执照）,Staff_076,已归档,新证,涉外民事,南非,2023-01-15,2023-01-16,150.00,是
2023001017,REDACTED_CLIENT,一般事务性委托,Staff_018,已归档,新证,国内民事,中国大陆,2023-01-15,2023-01-16,2000.00,是
2023001018,REDACTED_CLIENT,一般事务性委托,Staff_012,已归档,新证,国内民事,中国大陆,2023-01-15,2023-01-15,300.00,是
202300102,REDACTED_CLIENT,一般事务性委托,Staff_049,已归档,新证,国内民事,中国大陆,2023-01-03,2023-01-05,500.00,是
2023001020,REDACTED_CLIENT,出生,Staff_077,已归档,新证,涉外民事,法国,2023-01-15,2023-01-15,150.00,是
2023001021,REDACTED_CLIENT,法定继承,Staff_012,已归档,新证,国内民事,中国大陆,2023-01-16,2023-02-27,7460.00,是
2023001023,REDACTED_CLIENT,一般事务性委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-13,2023-01-16,4555.00,是
2023001024,REDACTED_CLIENT,一般事务性委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-13,2023-01-16,7130.00,是
2023001025,REDACTED_CLIENT,一般事务性委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-13,2023-01-16,3000.00,是
2023001026,REDACTED_CLIENT,一般事务性委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-13,2023-01-16,7985.00,是
2023001027,REDACTED_CLIENT,无犯罪记录,Staff_003,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,150.00,是
2023001029,REDACTED_CLIENT,城市房屋所有权委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-16,2000.00,是
202300103,REDACTED_CLIENT,法定继承,Staff_009,已归档,新证,国内民事,中国大陆,2023-01-03,2023-01-18,1163.00,是
2023001030,REDACTED_CLIENT,城市房屋所有权委托,Staff_024,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,500.00,是
2023001032,REDACTED_CLIENT,证书（执照）,Staff_003,已归档,新证,涉外民事,马来西亚,2023-01-16,2023-01-16,150.00,是
2023001033,REDACTED_CLIENT,译本与原本相符,Staff_076,已归档,新证,涉外民事,韩国,2023-01-16,2023-01-16,0.00,是
2023001034,REDACTED_CLIENT,城市房屋所有权委托,Staff_059,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-18,2000.00,是
2023001035,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001036,REDACTED_CLIENT,证书（执照）,Staff_054,已归档,新证,涉外民事,澳大利亚,2023-01-16,2023-01-16,150.00,是
2023001037,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001038,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,新西兰,2023-01-16,2023-01-16,150.00,是
2023001039,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,德国,2023-01-16,2023-01-16,150.00,是
2023001040,REDACTED_CLIENT,译本与原本相符,Staff_039,已归档,新证,涉外民事,韩国,2023-01-16,2023-01-16,300.00,是
2023001041,REDACTED_CLIENT,证书（执照）,Staff_070,已归档,新证,涉外民事,新西兰,2023-01-16,2023-01-16,150.00,是
2023001042,REDACTED_CLIENT,一般事务性委托,Staff_014,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,500.00,是
2023001043,REDACTED_CLIENT,一般事务性委托,Staff_049,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-28,3220.00,是
2023001045,REDACTED_CLIENT,无犯罪记录,Staff_013,已归档,新证,涉外民事,泰国,2023-01-16,2023-01-16,150.00,是
2023001046,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,挪威,2023-01-16,2023-01-16,150.00,是
2023001047,REDACTED_CLIENT,无犯罪记录,Staff_029,已归档,新证,涉外民事,泰国,2023-01-16,2023-01-16,150.00,是
2023001048,REDACTED_CLIENT,证书（执照）,Staff_020,已归档,新证,涉外民事,印度,2023-01-16,2023-01-17,150.00,是
2023001049,REDACTED_CLIENT,无犯罪记录,Staff_032,受理,新证,涉外民事,塞内加尔,2023-01-16,2023-01-16,150.00,是
202300105,REDACTED_CLIENT,无犯罪记录,Staff_008,已归档,新证,涉外民事,以色列,2023-01-03,2023-01-03,150.00,是
2023001051,REDACTED_CLIENT,证书（执照）,Staff_019,已归档,新证,涉外民事,泰国,2023-01-16,2023-01-16,150.00,是
2023001053,REDACTED_CLIENT,证书（执照）,Staff_029,已归档,新证,涉外民事,马拉维,2023-01-16,2023-01-16,150.00,是
2023001054,REDACTED_CLIENT,译本与原本相符,Staff_054,已归档,新证,涉外民事,乌克兰,2023-01-16,2023-01-16,500.00,是
2023001055,REDACTED_CLIENT,证书（执照）,Staff_054,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,150.00,是
2023001057,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001058,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,马来西亚,2023-01-16,2023-01-16,150.00,是
202300106,REDACTED_CLIENT,城市房屋所有权委托,Staff_039,已归档,新证,国内民事,中国大陆,2023-01-03,2023-01-03,500.00,是
2023001060,REDACTED_CLIENT,证书（执照）,Staff_020,发证,新证,涉外民事,印度,2023-01-16,2023-01-17,150.00,是
2023001061,REDACTED_CLIENT,译本与原本相符,Staff_008,已归档,新证,涉外民事,俄罗斯,2023-01-16,2023-01-16,150.00,是
2023001063,REDACTED_CLIENT,无犯罪记录,Staff_051,已归档,新证,涉外民事,新西兰,2023-01-16,2023-01-16,150.00,是
2023001065,REDACTED_CLIENT,一般事务性委托,Staff_032,归档,新证,国内民事,中国大陆,2023-01-16,2023-01-16,500.00,是
2023001067,REDACTED_CLIENT,译本与原本相符,Staff_070,已归档,新证,涉外民事,美国,2023-01-16,2023-01-16,150.00,是
2023001068,REDACTED_CLIENT,证书（执照）,Staff_024,已归档,新证,涉外民事,孟加拉国,2023-01-16,2023-01-16,0.00,Unknown
2023001069,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,希腊,2023-01-16,2023-01-29,150.00,是
202300107,REDACTED_CLIENT,证书（执照）,Staff_044,已归档,新证,涉外民事,葡萄牙,2023-01-03,2023-01-05,150.00,是
2023001070,REDACTED_CLIENT,译本与原本相符,Staff_054,已归档,新证,涉外民事,美国,2023-01-16,2023-01-16,150.00,是
2023001071,REDACTED_CLIENT,法定继承,Staff_013,已归档,新证,国内民事,中国大陆,2023-01-31,2023-02-13,6050.00,是
2023001072,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-01-16,2023-03-30,0.00,Unknown
2023001073,REDACTED_CLIENT,证书（执照）,Staff_026,已归档,新证,涉外民事,韩国,2023-01-16,2023-01-16,150.00,是
2023001074,REDACTED_CLIENT,译本与原本相符,Staff_003,已归档,新证,涉外民事,韩国,2023-01-16,2023-01-16,0.00,Unknown
2023001075,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001076,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001078,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001079,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
202300108,REDACTED_CLIENT,亲属关系,Staff_044,已归档,新证,涉外民事,希腊,2023-01-03,2023-01-05,150.00,是
2023001080,REDACTED_CLIENT,证书（执照）,Staff_077,已归档,新证,涉外民事,南非,2023-01-16,2023-01-16,500.00,是
2023001081,REDACTED_CLIENT,文本相符,Staff_030,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,0.00,Unknown
2023001082,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001083,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001084,REDACTED_CLIENT,城市房屋所有权委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,0.00,是
2023001085,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001086,REDACTED_CLIENT,证书（执照）,Staff_027,已归档,新证,涉外民事,泰国,2023-01-16,2023-01-16,150.00,是
2023001088,REDACTED_CLIENT,文书上的签名（印鉴）,Staff_003,已归档,新证,涉外民事,西班牙,2023-01-16,2023-01-18,500.00,是
2023001089,REDACTED_CLIENT,出生,Staff_030,已归档,新证,涉外民事,土耳其,2023-01-16,2023-01-17,0.00,Unknown
202300109,REDACTED_CLIENT,证书（执照）,Staff_070,已归档,新证,涉外民事,罗马尼亚,2023-01-04,2023-01-04,150.00,是
2023001090,REDACTED_CLIENT,证书（执照）,Staff_019,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,150.00,是
2023001091,REDACTED_CLIENT,法定继承,Staff_039,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-30,1600.00,是
2023001092,REDACTED_CLIENT,一般事务性委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-16,3760.00,是
2023001093,REDACTED_CLIENT,译本与原本相符,Staff_007,已归档,新证,涉外民事,乌兹别克斯坦,2023-01-16,2023-01-17,60.00,是
2023001095,REDACTED_CLIENT,译本与原本相符,Staff_030,已归档,新证,涉外民事,美国,2023-01-16,2023-01-16,0.00,Unknown
2023001096,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001097,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001098,REDACTED_CLIENT,法定继承,Staff_070,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-18,0.00,Unknown
2023001099,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
202300110,REDACTED_CLIENT,证书（执照）,Staff_070,已归档,新证,涉外民事,印度,2023-01-03,2023-01-04,150.00,是
2023001100,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001101,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-01-19,2023-02-24,0.00,Unknown
2023001102,REDACTED_CLIENT,出生,Staff_030,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-17,0.00,Unknown
2023001103,REDACTED_CLIENT,法定继承,Staff_007,已归档,新证,国内民事,中国大陆,2023-01-18,2023-02-16,1653.00,是
2023001104,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001105,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001107,REDACTED_CLIENT,证书（执照）,Staff_030,已归档,新证,涉外民事,新加坡,2023-01-16,2023-01-16,0.00,Unknown
2023001108,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,德国,2023-01-16,2023-01-16,150.00,是
2023001109,REDACTED_CLIENT,证书（执照）,Staff_030,已归档,新证,涉外民事,波兰,2023-01-16,2023-01-16,300.00,是
202300111,REDACTED_CLIENT,译本与原本相符,Staff_030,已归档,新证,涉外民事,韩国,2023-01-03,2023-01-04,150.00,是
2023001110,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001111,REDACTED_CLIENT,证书（执照）,Staff_027,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-17,150.00,是
2023001113,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001115,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,马来西亚,2023-01-16,2023-01-16,150.00,是
2023001116,REDACTED_CLIENT,文本相符,Staff_030,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,0.00,Unknown
2023001118,REDACTED_CLIENT,出生,Staff_030,已归档,新证,涉外民事,瓦努阿图,2023-01-16,2023-01-16,0.00,Unknown
2023001119,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001121,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001122,REDACTED_CLIENT,文本相符,Staff_030,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,0.00,Unknown
2023001123,REDACTED_CLIENT,无犯罪记录,Staff_026,已归档,新证,涉外民事,澳大利亚,2023-01-16,2023-01-16,300.00,是
2023001124,REDACTED_CLIENT,证书（执照）,Staff_027,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-17,150.00,是
2023001125,REDACTED_CLIENT,小额继承,Staff_070,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,500.00,是
2023001127,REDACTED_CLIENT,城市房屋所有权委托,Staff_020,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-19,500.00,是
2023001128,REDACTED_CLIENT,证书（执照）,Staff_030,已归档,新证,涉外民事,芬兰,2023-01-16,2023-01-17,1350.00,是
202300113,REDACTED_CLIENT,一般事务性委托,Staff_049,已归档,新证,国内民事,中国大陆,2023-01-03,2023-01-05,2000.00,否
2023001130,REDACTED_CLIENT,一般事务性委托,Staff_010,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,3000.00,是
2023001131,REDACTED_CLIENT,城市房屋所有权委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,1000.00,是
2023001133,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001134,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001135,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-17,150.00,是
2023001138,REDACTED_CLIENT,城市房屋所有权委托,Staff_039,归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,4628.00,是
202300114,REDACTED_CLIENT,无犯罪记录,Staff_004,已归档,新证,涉外民事,塞浦路斯,2023-01-03,2023-01-03,150.00,是
2023001141,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001142,REDACTED_CLIENT,一般事务性委托,Staff_007,发证,新证,国内涉他,中国大陆,2023-01-16,2023-01-16,200.00,是
2023001143,REDACTED_CLIENT,文书上的签名（印鉴）,Staff_036,已归档,新证,涉外民事,尼日利亚,2023-01-16,2023-01-16,500.00,是
2023001144,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-16,100.00,否
2023001146,REDACTED_CLIENT,证书（执照）,Staff_024,已归档,新证,涉外民事,西班牙,2023-01-16,2023-01-16,150.00,是
2023001147,REDACTED_CLIENT,其他法律意见书,Staff_024,制证,新证,法律意见书,中国大陆,2023-01-16,2023-01-17,100.00,否
2023001148,REDACTED_CLIENT,无犯罪记录,Staff_024,已归档,新证,涉外民事,加拿大,2023-01-16,2023-01-16,150.00,是
2023001149,REDACTED_CLIENT,无犯罪记录,Staff_024,已归档,新证,涉外民事,新西兰,2023-01-16,2023-01-17,150.00,是
2023001152,REDACTED_CLIENT,一般事务性委托,Staff_048,已归档,新证,国内民事,中国大陆,2023-01-16,2023-01-17,3220.00,是
2023001153,REDACTED_CLIENT,亲属关系,Staff_004,已归档,新证,涉外民事,日本,2023-01-17,2023-01-17,150.00,是
2023001154,REDACTED_CLIENT,其他继承,Staff_024,已归档,新证,法律意见书,中国大陆,2023-01-17,2023-02-20,0.00,Unknown
2023001155,REDACTED_CLIENT,法定继承,Staff_077,已归档,新证,国内民事,中国大陆,2023-01-17,2023-02-08,3884.00,是
2023001156,REDACTED_CLIENT,一般事务性委托,Staff_010,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-17,3000.00,是
2023001157,REDACTED_CLIENT,法定继承,Staff_024,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-19,6600.00,是
2023001159,REDACTED_CLIENT,一般事务性委托,Staff_070,已归档,新证,国内民事,中国大陆,2023-01-18,2023-01-28,2000.00,是
202300116,REDACTED_CLIENT,城市房屋所有权委托,Staff_068,已归档,新证,国内民事,中国大陆,2023-01-05,2023-01-06,2000.00,是
2023001161,REDACTED_CLIENT,证书（执照）,Staff_077,已归档,新证,涉外民事,法国,2023-01-17,2023-01-17,150.00,是
2023001162,REDACTED_CLIENT,其他法律意见书,Staff_024,发证,新证,法律意见书,中国大陆,2023-01-17,2023-01-17,100.00,否
2023001163,REDACTED_CLIENT,无犯罪记录,Staff_036,已归档,新证,涉外民事,巴西,2023-01-17,2023-01-17,150.00,是
2023001165,REDACTED_CLIENT,亲属关系,Staff_054,已归档,新证,涉外民事,澳大利亚,2023-01-17,2023-01-17,150.00,是
2023001167,REDACTED_CLIENT,译本与原本相符,Staff_030,已归档,新证,涉外民事,美国,2023-01-17,2023-01-17,0.00,Unknown
2023001168,REDACTED_CLIENT,其他法律意见书,Staff_024,发证,新证,法律意见书,中国大陆,2023-01-17,2023-01-17,100.00,否
2023001169,REDACTED_CLIENT,小额继承,Staff_049,已归档,新证,国内民事,中国大陆,2023-01-17,2023-01-20,500.00,是
202300117,REDACTED_CLIENT,亲属关系,Staff_004,已归档,新证,涉外民事,希腊,2023-01-03,2023-01-03,150.00,是
2023001170,REDACTED_CLIENT,译本与原本相符,Staff_008,已归档,新证,涉外民事,哈萨克斯坦,2023-01-17,2023-01-17,150.00,是
2023001171,REDACTED_CLIENT,其他法律意见书,Staff_024,发证,新证,法律意见书,中国大陆,2023-01-17,2023-01-17,100.00,否
2023001172,REDACTED_CLIENT,证书（执照）,Staff_044,已归档,新证,涉外民事,澳大利亚,2023-01-17,2023-01-30,150.00,是
2023001173,REDACTED_CLIENT,证书（执照）,Staff_008,已归档,新证,涉外民事,泰国,2023-01-17,2023-01-17,150.00,是
2023001174,REDACTED_CLIENT,其他法律意见书,Staff_024,发证,新证,法律意见书,中国大陆,2023-01-17,2023-01-17,100.00,否
